央视高清,#genre#
发现之旅,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_FAXIANZL/1.m3u8?m3u8_level=2
老故事,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_LAOGUSHI/1.m3u8?m3u8_level=2
职业指南,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_ZHIYEZN/1.m3u8?m3u8_level=2
卡酷少儿,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_KAKU/1.m3u8?m3u8_level=2
优漫卡通,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_YOUMAN/1.m3u8?m3u8_level=2
炫动卡通,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_XUANDONG/1.m3u8?m3u8_level=2
金鹰卡通,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_JINYING/1.m3u8?m3u8_level=2
嘉佳卡通,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_JIAJIA/1.m3u8?m3u8_level=2
置业频道,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_ZHIYE/G_ZHIYE/1.m3u8?m3u8_level=2
京视剧场,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_JINGJU/1.m3u8?m3u8_level=2
弈坛春秋,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_YITANCQ/G_YITANCQ/1.m3u8?m3u8_level=2
家庭理财,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_JIATINGLC/1.m3u8?m3u8_level=2
